HCCI_category,HCCI_outpatient_service_type,RX_generic_brand_indicator,HCCI_subcategory,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_OOP_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,OOP_price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
Prescription Drugs,NA,Brand,Hormones,2016,158.39,18.04,303.991,34.632,521.035,,303.991,34.632,521.035,0.11,-0.001,0.115,-0.004,,0.115,-0.004,0.312,-0.032,0.353,-0.03,,0.353,-0.03
Prescription Drugs,NA,Brand,Hormones,2017,174.33,18.43,357.717,37.812,487.339,,357.717,37.812,487.339,0.101,0.021,0.177,-0.065,,0.177,-0.065,0.444,-0.011,0.592,-0.093,,0.592,-0.093
Prescription Drugs,NA,Brand,Hormones,2018,190.23,19.36,388.738,39.568,489.352,,388.738,39.568,489.352,0.091,0.051,0.087,0.004,,0.087,0.004,0.576,0.039,0.73,-0.089,,0.73,-0.089
Prescription Drugs,NA,Brand,Metabolic,2014,1.89,0.1,361.609,19.337,5.229,,361.609,19.337,5.229,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Metabolic,2015,2.6,0.1,515.015,19.706,5.053,,515.015,19.706,5.053,0.376,-0.015,0.424,-0.034,,0.424,-0.034,0.376,-0.015,0.424,-0.034,,0.424,-0.034
Prescription Drugs,NA,Brand,Metabolic,2016,2.9,0.09,614.143,19.524,4.722,,614.143,19.524,4.722,0.114,-0.074,0.192,-0.066,,0.192,-0.066,0.533,-0.088,0.698,-0.097,,0.698,-0.097
Prescription Drugs,NA,Brand,Metabolic,2017,2.55,0.09,598.537,20.935,4.267,,598.537,20.935,4.267,-0.119,-0.031,-0.025,-0.096,,-0.025,-0.096,0.351,-0.117,0.655,-0.184,,0.655,-0.184
Prescription Drugs,NA,Brand,Metabolic,2018,1.96,0.09,514.744,22.602,3.804,,514.744,22.602,3.804,-0.233,-0.038,-0.14,-0.109,,-0.14,-0.109,0.036,-0.15,0.423,-0.273,,0.423,-0.273
Prescription Drugs,NA,Brand,Miscellaneous,2014,13.47,1.42,440.28,46.284,30.583,,440.28,46.284,30.583,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Miscellaneous,2015,13.56,1.13,583.014,48.754,23.266,,583.014,48.754,23.266,0.007,-0.199,0.324,-0.239,,0.324,-0.239,0.007,-0.199,0.324,-0.239,,0.324,-0.239
Prescription Drugs,NA,Brand,Miscellaneous,2016,14.45,0.89,825.6,50.816,17.507,,825.6,50.816,17.507,0.066,-0.216,0.416,-0.248,,0.416,-0.248,0.073,-0.371,0.875,-0.428,,0.875,-0.428
Prescription Drugs,NA,Brand,Miscellaneous,2017,15.07,0.89,929.793,55.119,16.205,,929.793,55.119,16.205,0.042,0.004,0.126,-0.074,,0.126,-0.074,0.119,-0.369,1.112,-0.47,,1.112,-0.47
Prescription Drugs,NA,Brand,Miscellaneous,2018,15.82,0.88,"1,040.72",57.975,15.202,,"1,040.72",57.975,15.202,0.05,-0.013,0.119,-0.062,,0.119,-0.062,0.175,-0.377,1.364,-0.503,,1.364,-0.503
Prescription Drugs,NA,Brand,Respiratory,2014,28.01,3.97,292.825,41.474,95.657,,292.825,41.474,95.657,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Respiratory,2015,33.68,3.85,349.381,39.961,96.394,,349.381,39.961,96.394,0.202,-0.029,0.193,0.008,,0.193,0.008,0.202,-0.029,0.193,0.008,,0.193,0.008
Prescription Drugs,NA,Brand,Respiratory,2016,40.25,4.34,402.215,43.337,100.081,,402.215,43.337,100.081,0.195,0.126,0.151,0.038,,0.151,0.038,0.437,0.093,0.374,0.046,,0.374,0.046
Prescription Drugs,NA,Brand,Respiratory,2017,46.13,4.9,438.091,46.577,105.299,,438.091,46.577,105.299,0.146,0.131,0.089,0.052,,0.089,0.052,0.647,0.236,0.496,0.101,,0.496,0.101
Prescription Drugs,NA,Brand,Respiratory,2018,52.8,5.34,498.398,50.417,105.934,,498.398,50.417,105.934,0.145,0.089,0.138,0.006,,0.138,0.006,0.885,0.346,0.702,0.107,,0.702,0.107
Prescription Drugs,NA,Brand,Rheumatoid Arthritis,2014,62.69,2.99,"3,128.33",149.081,20.04,,"3,128.33",149.081,20.04,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Rheumatoid Arthritis,2015,80.04,3.57,"3,712.14",165.629,21.562,,"3,712.14",165.629,21.562,0.277,0.195,0.187,0.076,,0.187,0.076,0.277,0.195,0.187,0.076,,0.187,0.076
Prescription Drugs,NA,Brand,Rheumatoid Arthritis,2016,102.86,3.97,"4,470.70",172.496,23.007,,"4,470.70",172.496,23.007,0.285,0.111,0.204,0.067,,0.204,0.067,0.641,0.328,0.429,0.148,,0.429,0.148
Prescription Drugs,NA,Brand,Rheumatoid Arthritis,2017,126.67,4.75,"4,992.75",187.1,25.371,,"4,992.75",187.1,25.371,0.232,0.196,0.117,0.103,,0.117,0.103,1.021,0.589,0.596,0.266,,0.596,0.266
Prescription Drugs,NA,Brand,Rheumatoid Arthritis,2018,143.77,5.75,"5,316.82",212.465,27.041,,"5,316.82",212.465,27.041,0.135,0.21,0.065,0.066,,0.065,0.066,1.293,0.923,0.7,0.349,,0.7,0.349
Prescription Drugs,NA,Brand,Skin,2014,23.03,3.02,594.796,77.888,38.715,,594.796,77.888,38.715,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Skin,2015,27.86,3.52,743.8,93.867,37.456,,743.8,93.867,37.456,0.21,0.166,0.251,-0.033,,0.251,-0.033,0.21,0.166,0.251,-0.033,,0.251,-0.033
Prescription Drugs,NA,Brand,Skin,2016,31.68,3.39,994.705,106.461,31.844,,994.705,106.461,31.844,0.137,-0.036,0.337,-0.15,,0.337,-0.15,0.376,0.124,0.672,-0.177,,0.672,-0.177
Prescription Drugs,NA,Brand,Skin,2017,41.89,3.24,"1,448.20",111.842,28.929,,"1,448.20",111.842,28.929,0.323,-0.046,0.456,-0.092,,0.456,-0.092,0.819,0.073,1.435,-0.253,,1.435,-0.253
Prescription Drugs,NA,Brand,Skin,2018,58.56,3.63,"2,068.94",128.344,28.304,,"2,068.94",128.344,28.304,0.398,0.123,0.429,-0.022,,0.429,-0.022,1.543,0.205,2.478,-0.269,,2.478,-0.269
Prescription Drugs,NA,Brand,Smooth Muscle Relaxants,2014,1.9,0.37,212.686,41.611,8.919,,212.686,41.611,8.919,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Smooth Muscle Relaxants,2015,1.72,0.3,243.908,42.126,7.033,,243.908,42.126,7.033,-0.096,-0.202,0.147,-0.211,,0.147,-0.211,-0.096,-0.202,0.147,-0.211,,0.147,-0.211
Prescription Drugs,NA,Brand,Smooth Muscle Relaxants,2016,1.87,0.29,276.877,43.254,6.767,,276.877,43.254,6.767,0.092,-0.012,0.135,-0.038,,0.135,-0.038,-0.012,-0.211,0.302,-0.241,,0.302,-0.241
Prescription Drugs,NA,Brand,Smooth Muscle Relaxants,2017,1.97,0.28,308.363,43.865,6.391,,308.363,43.865,6.391,0.052,-0.042,0.114,-0.056,,0.114,-0.056,0.039,-0.245,0.45,-0.283,,0.45,-0.283
Prescription Drugs,NA,Brand,Smooth Muscle Relaxants,2018,1.93,0.27,334.913,46.703,5.773,,334.913,46.703,5.773,-0.019,-0.038,0.086,-0.097,,0.086,-0.097,0.019,-0.273,0.575,-0.353,,0.575,-0.353
Prescription Drugs,NA,Brand,Vaccines,2014,1.31,0.05,"1,326.72",52.699,0.989,,"1,326.72",52.699,0.989,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Vaccines,2015,1.41,0.06,"1,334.29",55.675,1.058,,"1,334.29",55.675,1.058,0.077,0.131,0.006,0.07,,0.006,0.07,0.077,0.131,0.006,0.07,,0.006,0.07
Prescription Drugs,NA,Brand,Vaccines,2016,1.51,0.06,"1,662.31",61.526,0.908,,"1,662.31",61.526,0.908,0.069,-0.051,0.246,-0.142,,0.246,-0.142,0.151,0.073,0.253,-0.081,,0.253,-0.081
Prescription Drugs,NA,Brand,Vaccines,2017,1.59,0.05,"1,722.40",58.372,0.922,,"1,722.40",58.372,0.922,0.052,-0.037,0.036,0.015,,0.036,0.015,0.211,0.033,0.298,-0.067,,0.298,-0.067
Prescription Drugs,NA,Brand,Vaccines,2018,2.18,0.07,"1,090.01",32.629,2,,"1,090.01",32.629,2,0.373,0.213,-0.367,1.169,,-0.367,1.169,0.662,0.253,-0.178,1.023,,-0.178,1.023
Prescription Drugs,NA,Brand,Vitamins,2014,0.81,0.24,124.162,37.079,6.493,,124.162,37.079,6.493,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Brand,Vitamins,2015,0.97,0.25,149.041,38.008,6.513,,149.041,38.008,6.513,0.204,0.028,0.2,0.003,,0.2,0.003,0.204,0.028,0.2,0.003,,0.2,0.003
Prescription Drugs,NA,Brand,Vitamins,2016,1.04,0.24,194.646,44.334,5.365,,194.646,44.334,5.365,0.076,-0.039,0.306,-0.176,,0.306,-0.176,0.295,-0.012,0.568,-0.174,,0.568,-0.174
Prescription Drugs,NA,Brand,Vitamins,2017,1.09,0.23,216.273,45.772,5.046,,216.273,45.772,5.046,0.045,-0.029,0.111,-0.059,,0.111,-0.059,0.354,-0.041,0.742,-0.223,,0.742,-0.223
Prescription Drugs,NA,Brand,Vitamins,2018,1.07,0.22,238.254,48.652,4.473,,238.254,48.652,4.473,-0.023,-0.058,0.102,-0.114,,0.102,-0.114,0.322,-0.096,0.919,-0.311,,0.919,-0.311
Prescription Drugs,NA,Generic,All Prescription Drugs,2014,228.85,82.37,29.786,10.721,"7,683.22",,29.786,10.72,"7,683.22",,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,All Prescription Drugs,2015,234.09,81.28,30.069,10.441,"7,785.08",,30.069,10.44,"7,785.08",0.023,-0.013,0.009,0.013,,0.009,0.013,0.023,-0.013,0.009,0.013,,0.009,0.013
Prescription Drugs,NA,Generic,All Prescription Drugs,2016,246.79,82.84,31.099,10.44,"7,935.61",,31.099,10.44,"7,935.61",0.054,0.019,0.034,0.019,,0.034,0.019,0.078,0.006,0.044,0.033,,0.044,0.033
Prescription Drugs,NA,Generic,All Prescription Drugs,2017,246.08,82.62,29.325,9.846,"8,391.54",,29.325,9.85,"8,391.54",-0.003,-0.003,-0.057,0.057,,-0.057,0.057,0.075,0.003,-0.015,0.092,,-0.015,0.092
Prescription Drugs,NA,Generic,All Prescription Drugs,2018,235.63,82.69,27.525,9.659,"8,560.55",,27.525,9.66,"8,560.55",-0.042,0.001,-0.061,0.02,,-0.061,0.02,0.03,0.004,-0.076,0.114,,-0.076,0.114
Prescription Drugs,NA,Generic,Anti-Infectives,2014,22.73,9.68,62.792,26.75,362.012,,62.792,26.75,362.012,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Anti-Infectives,2015,23.99,9.94,66.425,27.518,361.215,,66.425,27.518,361.215,0.056,0.026,0.058,-0.002,,0.058,-0.002,0.056,0.026,0.058,-0.002,,0.058,-0.002
Prescription Drugs,NA,Generic,Anti-Infectives,2016,24.12,9.91,68.102,27.985,354.185,,68.102,27.985,354.185,0.005,-0.003,0.025,-0.019,,0.025,-0.019,0.061,0.024,0.085,-0.022,,0.085,-0.022
Prescription Drugs,NA,Generic,Anti-Infectives,2017,25.66,10.24,71.202,28.423,360.344,,71.202,28.423,360.344,0.064,0.033,0.046,0.017,,0.046,0.017,0.129,0.058,0.134,-0.005,,0.134,-0.005
Prescription Drugs,NA,Generic,Anti-Infectives,2018,26.81,10.67,74.677,29.715,358.989,,74.677,29.715,358.989,0.045,0.042,0.049,-0.004,,0.049,-0.004,0.179,0.102,0.189,-0.008,,0.189,-0.008
Prescription Drugs,NA,Generic,Antihistamines,2014,0.83,0.42,26.261,13.183,31.704,,26.261,13.183,31.704,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Antihistamines,2015,0.75,0.39,23.566,12.336,31.698,,23.566,12.336,31.698,-0.103,-0.064,-0.103,0,,-0.103,0,-0.103,-0.064,-0.103,0,,-0.103,0
Prescription Drugs,NA,Generic,Antihistamines,2016,0.73,0.41,20.706,11.628,35.221,,20.706,11.628,35.221,-0.024,0.047,-0.121,0.111,,-0.121,0.111,-0.124,-0.02,-0.212,0.111,,-0.212,0.111
Prescription Drugs,NA,Generic,Antihistamines,2017,0.69,0.36,20.08,10.42,34.241,,20.08,10.42,34.241,-0.057,-0.129,-0.03,-0.028,,-0.03,-0.028,-0.174,-0.146,-0.235,0.08,,-0.235,0.08
Prescription Drugs,NA,Generic,Antihistamines,2018,0.64,0.31,20.101,9.834,31.664,,20.101,9.834,31.664,-0.074,-0.127,0.001,-0.075,,0.001,-0.075,-0.236,-0.255,-0.235,-0.001,,-0.235,-0.001
Prescription Drugs,NA,Generic,Autonomic,2014,10.2,2.83,59.084,16.401,172.7,,59.084,16.401,172.7,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Autonomic,2015,12.15,2.93,68.839,16.586,176.443,,68.839,16.586,176.443,0.19,0.033,0.165,0.022,,0.165,0.022,0.19,0.033,0.165,0.022,,0.165,0.022
Prescription Drugs,NA,Generic,Autonomic,2016,14.4,3.08,80.579,17.244,178.697,,80.579,17.244,178.697,0.185,0.053,0.171,0.013,,0.171,0.013,0.411,0.088,0.364,0.035,,0.364,0.035
Prescription Drugs,NA,Generic,Autonomic,2017,10.58,2.59,57.378,14.051,184.352,,57.378,14.051,184.352,-0.265,-0.159,-0.288,0.032,,-0.288,0.032,0.037,-0.085,-0.029,0.067,,-0.029,0.067
Prescription Drugs,NA,Generic,Autonomic,2018,8.22,2.36,44.491,12.765,184.846,,44.491,12.765,184.846,-0.223,-0.089,-0.225,0.003,,-0.225,0.003,-0.194,-0.167,-0.247,0.07,,-0.247,0.07
Prescription Drugs,NA,Generic,Bio Response Modifiers,2015,0.5,0,"4,452.38",24.22,0.111,,"4,452.38",24.22,0.111,,,,,,,,,,,,,,
Prescription Drugs,NA,Generic,Bio Response Modifiers,2016,0.8,0.01,"4,352.23",51.284,0.185,,"4,352.23",51.284,0.185,0.62,2.51,-0.022,0.657,,-0.022,0.657,,,,,,,
Prescription Drugs,NA,Generic,Bio Response Modifiers,2017,0.83,0.01,"4,477.30",68.19,0.185,,"4,477.30",68.19,0.185,0.032,0.334,0.029,0.003,,0.029,0.003,,,,,,,
Prescription Drugs,NA,Generic,Bio Response Modifiers,2018,1.11,0.03,"4,285.14",122.15,0.26,,"4,285.14",122.15,0.26,0.341,1.51,-0.043,0.401,,-0.043,0.401,,,,,,,
Prescription Drugs,NA,Generic,Blood,2014,3.73,0.77,49.585,10.236,75.16,,49.585,10.236,75.16,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Blood,2015,2.99,0.64,42.212,9.033,70.721,,42.212,9.033,70.721,-0.199,-0.17,-0.149,-0.059,,-0.149,-0.059,-0.199,-0.17,-0.149,-0.059,,-0.149,-0.059
Prescription Drugs,NA,Generic,Blood,2016,3.11,0.61,46.819,9.112,66.484,,46.819,9.112,66.484,0.043,-0.052,0.109,-0.06,,0.109,-0.06,-0.165,-0.213,-0.056,-0.115,,-0.056,-0.115
Prescription Drugs,NA,Generic,Blood,2017,3.2,0.57,48.995,8.722,65.219,,48.995,8.722,65.219,0.027,-0.061,0.046,-0.019,,0.046,-0.019,-0.143,-0.261,-0.012,-0.132,,-0.012,-0.132
Prescription Drugs,NA,Generic,Blood,2018,3.29,0.6,51.078,9.272,64.318,,51.078,9.272,64.318,0.028,0.048,0.043,-0.014,,0.043,-0.014,-0.118,-0.225,0.03,-0.144,,0.03,-0.144
Prescription Drugs,NA,Generic,Cardiovascular,2014,34.99,16.39,16.241,7.608,"2,154.45",,16.241,7.61,"2,154.45",,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Cardiovascular,2015,31.16,15.5,14.202,7.064,"2,193.78",,14.202,7.06,"2,193.78",-0.11,-0.055,-0.126,0.018,,-0.126,0.018,-0.11,-0.055,-0.126,0.018,,-0.126,0.018
Prescription Drugs,NA,Generic,Cardiovascular,2016,32.9,15.95,14.579,7.068,"2,256.71",,14.579,7.07,"2,256.71",0.056,0.029,0.027,0.029,,0.027,0.029,-0.06,-0.027,-0.102,0.047,,-0.102,0.047
Prescription Drugs,NA,Generic,Cardiovascular,2017,36.87,16.89,15.208,6.966,"2,424.23",,15.208,6.97,"2,424.23",0.121,0.059,0.043,0.074,,0.043,0.074,0.054,0.03,-0.064,0.125,,-0.064,0.125
Prescription Drugs,NA,Generic,Cardiovascular,2018,36.13,16.84,14.365,6.694,"2,515.43",,14.365,6.69,"2,515.43",-0.02,-0.003,-0.055,0.038,,-0.055,0.038,0.033,0.027,-0.116,0.168,,-0.116,0.168
Prescription Drugs,NA,Generic,Central Nervous System,2014,71.18,25.64,33.13,11.932,"2,148.57",,33.13,11.93,"2,148.57",,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Central Nervous System,2015,70.65,25.22,32.251,11.511,"2,190.68",,32.251,11.51,"2,190.68",-0.007,-0.016,-0.027,0.02,,-0.027,0.02,-0.007,-0.016,-0.027,0.02,,-0.027,0.02
Prescription Drugs,NA,Generic,Central Nervous System,2016,72.3,25.62,32.29,11.442,"2,239.02",,32.29,11.44,"2,239.02",0.023,0.016,0.001,0.022,,0.001,0.022,0.016,-0.001,-0.025,0.042,,-0.025,0.042
Prescription Drugs,NA,Generic,Central Nervous System,2017,68.64,24.93,29.219,10.613,"2,349.24",,29.219,10.61,"2,349.24",-0.051,-0.027,-0.095,0.049,,-0.095,0.049,-0.036,-0.027,-0.118,0.093,,-0.118,0.093
Prescription Drugs,NA,Generic,Central Nervous System,2018,64.42,24.51,27.191,10.345,"2,369.02",,27.191,10.35,"2,369.02",-0.062,-0.017,-0.069,0.008,,-0.069,0.008,-0.095,-0.044,-0.179,0.103,,-0.179,0.103
Prescription Drugs,NA,Generic,Chemotherapy,2014,4.66,0.58,97.403,12.152,47.826,,97.403,12.152,47.826,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Chemotherapy,2015,5.02,0.54,103.596,11.083,48.442,,103.596,11.083,48.442,0.077,-0.076,0.064,0.013,,0.064,0.013,0.077,-0.076,0.064,0.013,,0.064,0.013
Prescription Drugs,NA,Generic,Chemotherapy,2016,5.14,0.55,103.285,10.966,49.759,,103.285,10.966,49.759,0.024,0.016,-0.003,0.027,,-0.003,0.027,0.103,-0.061,0.06,0.04,,0.06,0.04
Prescription Drugs,NA,Generic,Chemotherapy,2017,7.13,0.49,157.283,10.709,45.317,,157.283,10.709,45.317,0.387,-0.111,0.523,-0.089,,0.523,-0.089,0.53,-0.165,0.615,-0.052,,0.615,-0.052
Prescription Drugs,NA,Generic,Chemotherapy,2018,6.5,0.47,167.62,12.225,38.785,,167.62,12.225,38.785,-0.088,-0.023,0.066,-0.144,,0.066,-0.144,0.396,-0.184,0.721,-0.189,,0.721,-0.189
Prescription Drugs,NA,Generic,Devices,2014,0.31,0.04,584.887,76.945,0.537,,584.887,76.945,0.537,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Devices,2015,0.34,0.05,563.308,78.296,0.598,,563.308,78.296,0.598,0.072,0.132,-0.037,0.113,,-0.037,0.113,0.072,0.132,-0.037,0.113,,-0.037,0.113
Prescription Drugs,NA,Generic,Devices,2016,0.36,0.07,526.649,94.83,0.692,,526.649,94.83,0.692,0.083,0.403,-0.065,0.158,,-0.065,0.158,0.161,0.589,-0.1,0.289,,-0.1,0.289
Prescription Drugs,NA,Generic,Devices,2017,0.1,0.03,342.546,114.183,0.279,,342.546,114.183,0.279,-0.738,-0.515,-0.35,-0.597,,-0.35,-0.597,-0.696,-0.229,-0.414,-0.48,,-0.414,-0.48
Prescription Drugs,NA,Generic,Devices,2018,0.1,0.03,409.974,121.743,0.248,,409.974,121.743,0.248,0.064,-0.052,0.197,-0.111,,0.197,-0.111,-0.676,-0.269,-0.299,-0.538,,-0.299,-0.538
Prescription Drugs,NA,Generic,Diagnostic,2014,0,0,597.459,132.274,0.001,,597.459,132.274,0.001,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Diagnostic,2015,0,0,346.499,85.619,0.002,,346.499,85.619,0.002,-0.211,-0.12,-0.42,0.36,,-0.42,0.36,-0.211,-0.12,-0.42,0.36,,-0.42,0.36
Prescription Drugs,NA,Generic,Diagnostic,2016,0,0,587.974,108.926,0.001,,587.974,108.926,0.001,-0.05,-0.288,0.697,-0.44,,0.697,-0.44,-0.251,-0.373,-0.016,-0.239,,-0.016,-0.239
Prescription Drugs,NA,Generic,Diagnostic,2017,0,0,575.655,125.792,0.001,,575.655,125.792,0.001,0.052,0.241,-0.021,0.074,,-0.021,0.074,-0.212,-0.222,-0.036,-0.182,,-0.036,-0.182
Prescription Drugs,NA,Generic,Diagnostic,2018,0,0,477.61,130.639,0.001,,477.61,130.639,0.001,-0.028,0.217,-0.17,0.172,,-0.17,0.172,-0.234,-0.054,-0.201,-0.042,,-0.201,-0.042
Prescription Drugs,NA,Generic,EENT,2014,7,3.45,30.119,14.84,232.321,,30.119,14.84,232.321,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,EENT,2015,6.24,3,33.879,16.292,184.242,,33.879,16.292,184.242,-0.108,-0.129,0.125,-0.207,,0.125,-0.207,-0.108,-0.129,0.125,-0.207,,0.125,-0.207
Prescription Drugs,NA,Generic,EENT,2016,6.84,2.87,40.578,17.005,168.637,,40.578,17.005,168.637,0.096,-0.045,0.198,-0.085,,0.198,-0.085,-0.022,-0.168,0.347,-0.274,,0.347,-0.274
Prescription Drugs,NA,Generic,EENT,2017,7.33,2.86,41.156,16.074,178.143,,41.156,16.074,178.143,0.071,-0.001,0.014,0.056,,0.014,0.056,0.048,-0.169,0.366,-0.233,,0.366,-0.233
Prescription Drugs,NA,Generic,EENT,2018,6.99,2.96,39.253,16.624,178.164,,39.253,16.624,178.164,-0.046,0.034,-0.046,0,,-0.046,0,-0.001,-0.141,0.303,-0.233,,0.303,-0.233
Prescription Drugs,NA,Generic,Enzymes,2014,0.08,0,"8,180.05",110.47,0.01,,"8,180.05",110.47,0.01,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Enzymes,2015,0.14,0,"8,867.04",193.721,0.016,,"8,867.04",193.721,0.016,0.779,1.878,0.084,0.641,,0.084,0.641,0.779,1.878,0.084,0.641,,0.084,0.641
Prescription Drugs,NA,Generic,Enzymes,2016,0.09,0,"8,831.41",276.404,0.01,,"8,831.41",276.404,0.01,-0.371,-0.098,-0.004,-0.368,,-0.004,-0.368,0.12,1.595,0.08,0.037,,0.08,0.037
Prescription Drugs,NA,Generic,Enzymes,2017,0.14,0,"9,771.07",326.201,0.015,,"9,771.07",326.201,0.015,0.628,0.737,0.106,0.472,,0.106,0.472,0.823,3.507,0.194,0.526,,0.194,0.526
Prescription Drugs,NA,Generic,Enzymes,2018,0.21,0.01,"10,219.24",294.919,0.021,,"10,219.24",294.919,0.021,0.509,0.304,0.046,0.443,,0.046,0.443,1.751,4.878,0.249,1.202,,0.249,1.202
Prescription Drugs,NA,Generic,Gastrointestinal,2014,8.6,3.6,25.459,10.647,337.794,,25.459,10.647,337.794,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Gastrointestinal,2015,10.94,3.6,30.552,10.053,358.104,,30.552,10.053,358.104,0.272,0.001,0.2,0.06,,0.2,0.06,0.272,0.001,0.2,0.06,,0.2,0.06
Prescription Drugs,NA,Generic,Gastrointestinal,2016,11.26,3.59,31.28,9.968,359.953,,31.28,9.968,359.953,0.029,-0.003,0.024,0.005,,0.024,0.005,0.309,-0.002,0.229,0.066,,0.229,0.066
Prescription Drugs,NA,Generic,Gastrointestinal,2017,11.51,3.53,31.101,9.548,370.076,,31.101,9.548,370.076,0.022,-0.015,-0.006,0.028,,-0.006,0.028,0.338,-0.017,0.222,0.096,,0.222,0.096
Prescription Drugs,NA,Generic,Gastrointestinal,2018,10.68,3.53,28.679,9.471,372.468,,28.679,9.471,372.468,-0.072,-0.002,-0.078,0.006,,-0.078,0.006,0.242,-0.019,0.126,0.103,,0.126,0.103
Prescription Drugs,NA,Generic,Heavy Metal Antagonists,2014,0.02,0,"2,376.26",62.794,0.01,,"2,376.26",62.794,0.01,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Heavy Metal Antagonists,2015,0.06,0,"4,852.18",35.958,0.013,,"4,852.18",35.958,0.013,1.837,-0.204,1.042,0.389,,1.042,0.389,1.837,-0.204,1.042,0.389,,1.042,0.389
Prescription Drugs,NA,Generic,Heavy Metal Antagonists,2016,0.09,0,"5,145.41",57.851,0.017,,"5,145.41",57.851,0.017,0.368,1.076,0.06,0.29,,0.06,0.29,2.881,0.651,1.165,0.792,,1.165,0.792
Prescription Drugs,NA,Generic,Heavy Metal Antagonists,2017,0.1,0,"7,523.10",82.237,0.014,,"7,523.10",82.237,0.014,0.182,0.149,0.462,-0.191,,0.462,-0.191,3.588,0.898,2.166,0.449,,2.166,0.449
Prescription Drugs,NA,Generic,Heavy Metal Antagonists,2018,0.19,0,"17,240.99",60.605,0.011,,"17,240.99",60.605,0.011,0.798,-0.422,1.292,-0.215,,1.292,-0.215,7.25,0.097,6.256,0.137,,6.256,0.137
Prescription Drugs,NA,Generic,Hormones,2014,26.79,8.67,21.245,6.876,"1,261.19",,21.245,6.88,"1,261.19",,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Hormones,2015,26.7,8.72,20.562,6.715,"1,298.36",,20.562,6.72,"1,298.36",-0.004,0.005,-0.032,0.029,,-0.032,0.029,-0.004,0.005,-0.032,0.029,,-0.032,0.029
Prescription Drugs,NA,Generic,Hormones,2016,29.52,9.01,21.923,6.695,"1,346.51",,21.923,6.70,"1,346.51",0.106,0.034,0.066,0.037,,0.066,0.037,0.102,0.039,0.032,0.068,,0.032,0.068
Prescription Drugs,NA,Generic,Hormones,2017,31.75,9.03,21.597,6.146,"1,470.07",,21.597,6.15,"1,470.07",0.076,0.002,-0.015,0.092,,-0.015,0.092,0.185,0.042,0.017,0.166,,0.017,0.166
Prescription Drugs,NA,Generic,Hormones,2018,31.7,9.54,20.867,6.278,"1,519.38",,20.867,6.28,"1,519.38",-0.001,0.056,-0.034,0.034,,-0.034,0.034,0.183,0.1,-0.018,0.205,,-0.018,0.205
Prescription Drugs,NA,Generic,Metabolic,2014,2.95,1.61,9.992,5.463,295.117,,9.992,5.463,295.117,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,Generic,Metabolic,2015,2.85,1.53,9.805,5.252,290.827,,9.805,5.252,290.827,-0.033,-0.053,-0.019,-0.015,,-0.019,-0.015,-0.033,-0.053,-0.019,-0.015,,-0.019,-0.015
Prescription Drugs,NA,Generic,Metabolic,2016,2.9,1.52,10.008,5.236,289.456,,10.008,5.236,289.456,0.016,-0.008,0.021,-0.005,,0.021,-0.005,-0.018,-0.06,0.002,-0.019,,0.002,-0.019
